email,password,name,phone,address,qualification,experience,department
teacher3@example.com,password789,Michael Johnson,1122334455,789 Pine St,PhD in Physics,8,Physics
teacher4@example.com,password101,Sarah Wilson,2233445566,321 Elm St,Master's in Chemistry,6,Chemistry
teacher5@example.com,password202,David Brown,3344556677,654 Maple Ave,Bachelor's in Biology,4,Biology
teacher6@example.com,password303,Lisa Davis,4455667788,987 Cedar Rd,Master's in English,7,English
teacher7@example.com,password404,Robert Miller,5566778899,147 Birch Ln,PhD in History,10,History
teacher8@example.com,password505,Emily Garcia,6677889900,258 Spruce Dr,Bachelor's in Geography,2,Geography
teacher9@example.com,password606,James Martinez,7788990011,369 Willow Way,Master's in Art,5,Art
teacher10@example.com,password707,Amanda Rodriguez,8899001122,741 Poplar St,Bachelor's in Music,3,Music
teacher11@example.com,password808,Christopher Lee,9900112233,852 Ash Ave,PhD in Computer Science,12,Computer Science
teacher12@example.com,password909,Jessica White,0011223344,963 Hickory Blvd,Master's in Psychology,6,Psychology
teacher13@example.com,password010,Daniel Taylor,1122334455,174 Sycamore St,Bachelor's in Sociology,4,Sociology
teacher14@example.com,password111,Michelle Anderson,2233445566,285 Dogwood Dr,Master's in Economics,7,Economics
teacher15@example.com,password222,Kevin Thomas,3344556677,396 Magnolia Ln,PhD in Philosophy,9,Philosophy
